title,year,doi,tags,phase,screening_status,excl_reasons
Value of perfect ENSO phase predictions for agriculture: evaluating the impact of land tenure and decision objectives,2009,https://doi.org/10.1007/s10584-009-9600-8,{},soc ben repo,included,NA
"Mapping Regional Land Cover With Modis Data For Biological Conservation: Examples From The Greater Yellowstone Ecosystem, Usa And Para State, Brazil",NA,10.1016/j.rse.2004.05.002,{},classifier round 2,included,NA
Keeping Up With Remote Sensing And Gi Advances- Policy And Legal Perspectives,NA,10.1016/j.spacepol.2006.09.001,{},classifier round 2,included,NA
Forestry,NA,10.1007/978-0-387-36699-9_48,{},classifier round 2,included,NA
Enhanced Joint Hybrid Deep Neural Network Explainable Artificial Intelligence Model For 1-Hr Ahead Solar Ultraviolet Index Prediction,NA,10.1016/j.cmpb.2023.107737,{},classifier round 2b,included,NA
Detection And Mapping The Spatial Distribution Of Bracken Fern Weeds Using The Landsat 8 Oli New Generation Sensor,NA,10.1016/j.jag.2016.12.006,{},classifier round 2a,included,NA
"Application Of The Vegetation Condition Index In The Diagnosis Of Spatiotemporal Distribution Of Agricultural Droughts: A Case Study Concerning The State Of Espirito Santo, Southeastern Brazil",2023,10.3390/d15030460,{},classifier round 2b,included,NA
Optimal Decision-Making Model Of Spatial Sampling For Survey Of China's Land With Remotely Sensed Data,NA,10.1360/03yd0376,{},classifier round 2a,included,NA
Assessing the value of information for water quality management in the North Sea,2009,https://doi.org/10.1016/j.jenvman.2008.07.016,"{""in benchmarks?""}",soc ben repo,included,NA
Benefits and Beneficiaries of the Oklahoma Mesonet: A Multisectoral Ripple Effect Analysis,2017,https://doi.org/10.1175/WCAS-D-16-0139.1,{},soc ben repo,included,NA
Integration Of Lidar And Pleiades Data In Identifying The Potential Of Hazardous Trees,2022,10.52939/ijg.v18i4.2253,{maybe},classifier round 1,included,NA
Application Of Remote Sensing Technology For Impact Assessment Of Watershed Development Programme,NA,10.1007/s12524-008-0037-8,{},classifier round 2,included,NA
Openet: Filling A Critical Data Gap In Water Management For The Western United States,NA,10.1111/1752-1688.12956,{},classifier round 2b,included,NA
Operational Evapotranspiration Estimates From Seviri In Support Of Sustainable Water Management,NA,10.1016/j.jag.2016.02.006,{},classifier round 2b,included,NA
Lessons Learned From Participatory Land Use Planning With High-Resolution Remote Sensing Images In Tanzania: Practitioners' And Participants' Perspectives,NA,10.1016/j.landusepol.2021.105649,{},classifier round 1,included,NA
The Advantages Of Using Drones Over Space-Borne Imagery In The Mapping Of Mangrove Forests,NA,10.1371/journal.pone.0200288,{},classifier round 2a,included,NA
May Smart Technologies Reduce The Environmental Impact Of Nitrogen Fertilization? A Case Study For Paddy Rice,NA,10.1016/j.scitotenv.2020.136956,{},classifier round 2,included,NA
Influence Of Spatial Resolution On Satellite-Based Pm2.5 Estimation: Implications For Health Assessment,NA,10.3390/rs14122933,{},classifier round 2a,included,NA
Grid-Scale Agricultural Land And Water Management: A Remote-Sensing-Based Multiobjective Approach,NA,10.1016/j.jclepro.2020.121792,{},classifier round 2a,included,NA
The Application Of Geographic Information Systems And Remotely Sensed Data To The Conservation Of Heathland Fragments,1995,10.1016/0006-3207(94)00070-7,{},classifier excl sample,included,NA
"Economic Comparison Of Satellite, Plane And Uav-Acquired Ndvi Images For Site-Specific Nitrogen Application: Observations From Italy",NA,10.3390/agronomy11112098,{},classifier round 2a,included,NA
Geo-Processing Workflow Driven Wildfire Hot Pixel Detection Under Sensor Web Environment,NA,10.1016/j.cageo.2009.06.013,{},classifier round 2b,included,NA
Key Technologies Of Monitoring High Temperature Stress To Rice By Portable Uav Multi Spectral Remote Sensing,NA,10.3969/j.issn.1000-6362.2020.09.006,{},classifier round 2a,included,NA
Examples Of Strategies To Analyze Spatial And Temporal Yield Variability Using Crop Models,NA,10.1016/s1161-0301(02)00101-6,{},classifier round 2b,included,NA
An Inter-Comparison Exercise Of Sentinel-2 Radiometric Validations Assessed By Independent Expert Groups,NA,10.1016/j.rse.2019.111369,{},classifier round 2,included,NA
Wildfire Monitoring With Satellite Remote Sensing In Support Of Conservation,NA,10.1017/9781108631129.006,{},classifier round 2,included,NA
Environmental Security In Arctic Ice-Covered Seas: From Strategy To Tactics Of Hazard Identification And Emergency Response,NA,10.4031/mtsj.45.3.1,{},classifier round 2b,included,NA
The value of Earth Observation for marine water quality management,2009,https://research.vu.nl/ws/portalfiles/portal/2607929/BoumaKuikvanderWoerdDekker+FINAL.pdf,{},soc ben repo,included,NA
An Evaluation Of The Use Of Remotely Sensed Parameters For Prediction Of Incidence And Risk Associated With Vibrio Parahaemolyticus In Gulf Coast Oysters (Crassostrea Virginica),2007,10.4315/0362-028x-70.4.879,"{validation,maybe}",classifier round 1,included,NA
Diversity Features Collaboration Technology For Monitoring Forest Before And After Hurricane By Remote Sensing,NA,10.11834/jrs.20210230,"{""probs not""}",classifier round 2,included,NA
Integrating Multisensor Satellite Data Merging And Image Reconstruction In Support Of Machine Learning For Better Water Quality Management,NA,10.1016/j.jenvman.2017.06.045,{},classifier round 2,included,NA
Water Balance Estimation Of A Poorly Gauged Catchment In West Africa Using Dynamically Downscaled Meteorological Fields And Remote Sensing Information,NA,10.1016/j.pce.2008.04.002,{},classifier round 2a,included,NA
"Model-Assisted Estimation Of Change In Forest Biomass Over An 11year Period In A Sample Survey Supported By Airborne Lidar: A Case Study With Post-Stratification To Provide ""Activity Data""",2013,10.1016/j.rse.2012.10.008,{},classifier round 2b,included,NA
"Mapping Crop Fractional Green Canopy Cover Using High Spatial Resolution Thermal And Optical Remote Sensing In Southern Ontario, Canada",NA,10.1139/geomat-2021-0008,{},classifier round 2a,included,NA
Extending The Utility Of Modis Daily Snow-Cover Products Through Snow-Cover Prediction Of Cloud-Obscured Areas In Idaho's Big Lost River Basin (Usa),2008,10.1080/15420350802142702,"{maybe,algorithm}",sample 1000,included,NA
New Perspectives Of Earth Surface Remote Detection For Hydro-Geomorphological Monitoring Of Rivers,NA,10.3390/su142114093,{},classifier round 2b,included,NA
Taking The Highway To Save Lives On Lake Victoria,NA,10.1175/bams-d-20-0290.1,{},classifier round 2b,included,NA
Spatio-temporal design for a water quality monitoring network maximizing the economic value of information to optimize the detection of accidental pollution,2020,https://doi.org/10.1016/j.wre.2020.100156,{relevant},soc ben repo,included,NA
Historic Documentation: A Model Of Project Based Learning For Architectural Education,NA,10.1016/j.landurbplan.2004.11.003,"{Maybe?,education}",classifier round 2b,included,NA
Reducing The Cost Of Multi-Spectral Remote Sensing: Combining Near-Infrared Video Imagery With Colour Aerial Photography,NA,10.1016/s0168-1699(02)00141-2,{},classifier round 2,included,NA
Decadal Reanalysis Of Biogeochemical Indicators And Fluxes In The North West European Shelf-Sea Ecosystem,NA,10.1002/2015jc011496,{},classifier round 2b,included,NA
Assessing the usability and potential value of seasonal climate forecasts in land management decisions in the southwest UK: challenges and reflections,2017,https://doi.org/10.5194/asr-14-175-2017,{},soc ben repo,included,NA
Paragon -: An Integrated Approach For Characterizing Aerosol Climate Impacts And Environmental Interactions,NA,10.1175/bams-85-10-1491,{},classifier round 2b,included,NA
Monitoring Water-Related Ecosystems With Earth Observation Data In Support Of Sustainable Development Goal (Sdg) 6 Reporting,NA,10.3390/rs12101634,{},classifier round 2a,included,NA
Applying Bag Of Words Approach To Determine Remote Sensing Technology Acceptance Among Smallholder Plantations,NA,10.1108/agjsr-02-2023-0056,{},classifier round 2a,included,NA
Using Bioacoustics To Enhance The Efficiency Of Spotted Owl Surveys And Facilitate Forest Restoration,2024,10.1002/jwmg.22533,{},classifier round 1,included,NA
Agronomic Performance And Remote Sensing Assessment Of Organic And Mineral Fertilization In Rice Fields,NA,10.3389/fpls.2023.1230012,{},classifier round 2,included,NA
Ground Level Lidar As A Contributing Indicator In An Environmental Protection Application,NA,10.1109/access.2023.3319453,{},classifier round 2a,included,NA
Using Bathymetric Lidar To Define Nearshore Benthic Habitat Complexity: Implications For Management Of Reef Fish Assemblages In Hawaii,NA,10.1016/j.rse.2008.01.025,{},classifier round 2b,included,NA
Free satellite imagery and digital elevation model analyses enabling natural resource management in the developing world: studies from Eastern Indonesia,2017,https://doi.org/10.1111/sjtg.12210,{maybe},soc ben repo,included,NA
Secure Spectrum Sharing For Satellite Internet-Of-Things Based On Blockchain,NA,10.1007/s11277-023-10433-0,{},classifier round 2,included,NA
Spatial Ecology Of Mangrove Forests: A Remote Sensing Perspective,NA,10.1007/978-3-319-62206-4_4,{},classifier round 2b,included,NA
Measuring The Economic Benefits Of Advanced Technology Use For River Flood Forecasting,NA,10.1111/jfr3.12781,{},classifier round 2a,included,NA
Evapotranspiration Estimation Using Sebal Algorithm Integrated With Remote Sensing And Experimental Methods,NA,10.1080/17538947.2021.1962996,{},classifier round 2a,included,NA
Global Climate Change And The Developing World,NA,10.1016/s0892-9270(98)00019-0,{},classifier round 2b,included,NA
Willingness to pay for soil information derived by digital maps: a choice experiment approach,2012,https://doi.org/10.2136/vzj2012.0198,{},soc ben repo,included,NA
Using Publicly Available Remote Sensing Products To Evaluate Redd Plus Projects In Brazil,NA,10.1016/j.gloenvcha.2023.102653,{},classifier round 2b,included,NA
"Volume 9 Overview: Remote Sensing, Human Dimension And Societal Benefits",NA,10.1016/b978-0-12-409548-9.10521-4,{},classifier round 2,included,NA
The Flash Flood Guidance System Implementation Worldwide A Successful Multidecadal Research-To-Operations Effort,NA,10.1175/bams-d-20-0241.1,{},classifier round 2b,included,NA
An Evaluation Of Public Servant Awareness And Use Of Gis/Remote Sensing In Africa-Nigeria,NA,10.4314/sajg.v7i1.3,{},classifier round 2,included,NA
Spaceborne Imaging Spectroscopy For Sustainable Agriculture: Contributions And Challenges,NA,10.1007/s10712-018-9492-0,{},classifier round 2a,included,NA
Valuing Weather Observation Systems For Forest Fire Management,2008,https://doi.org/10.1109/JSYST.2008.925979,{},soc ben repo,included,NA
Environmental Indicators Combined With Risk Analysis To Evaluate Potential Wildfire Incidence On The Dadu Plateau In Taiwan,2022,10.1007/s11069-022-05300-3,{},sample 1000,included,NA
Targeting Villages For Rural Development Using Satellite Image Analysis,NA,10.1089/big.2014.0061,{},classifier round 2,included,NA
Copernicus Program,NA,10.1016/b978-0-12-409548-9.10317-3,{},classifier round 2a,included,NA
Use And Benefits Of Nasa's Recover For Post-Fire Decision Support,2018,10.1071/wf18010,{},sample 1000,included,NA
Economic Aspects Of New Cartographic Products,NA,10.1080/01431168908903876,{},classifier round 2b,included,NA
A Xgboost-Based Downscaling-Calibration Scheme For Extreme Precipitation Events,NA,10.1109/tgrs.2023.3294266,{},classifier round 2b,included,NA
Seasonal Crop Water Balance Using Harmonized Landsat-8 And Sentinel-2 Time Series Data,NA,10.3390/w11112236,{},classifier round 2b,included,NA
Use Of Geodesign Tools For Visualisation Of Scenarios For An Ecologically Sensitive Area At A Local Scale,NA,10.1177/2399808321991538,{},classifier round 2b,included,NA
Evaluation Of Sugarcane Irrigation Using Aquacrop Model And Remote Sensing,NA,10.1002/ird.2718,{},classifier round 2b,included,NA
Anticipated Applications Potential Of Radarsat-2 Data,NA,10.5589/m04-001,{},classifier round 2b,included,NA
"Route Plans For Uav Aerial Surveys According To Different Dems In Complex Mountainous Surroundings: A Case Study In The Zheduoshan Mountains, China",NA,10.3390/rs14205215,{},classifier round 2b,included,NA
Sentinel-1 Snow Depth Retrieval At Sub-Kilometer Resolution Over The European Alps,NA,10.5194/tc-16-159-2022,"{validation,""probably not""}",classifier round 1,included,NA
Development Of A Web-Based Hydrologic Education Tool Using Google Earth Resources,NA,10.1130/2012.2492(33),{},classifier round 2b,included,NA
Assessing the value of Earth observation for managing coral reefs: an example from the Great Barrier Reef,2011,https://doi.org/10.1016/j.scitotenv.2011.07.023,"{""in benchmarks?""}",soc ben repo,included,NA
Space Technology For Disaster Management : Data Access And Its Place In The Community,2007,10.1144/sp283.14,{},sample 1000,included,NA
Uav Assisted Spatiotemporal Analysis And Management Of Bushfires: A Case Study Of The 2020 Victorian Bushfires,NA,10.3390/fire4030040,{},classifier round 2a,included,NA
European Space Agency's Strategic Contribution To Seismology,NA,10.1007/s11069-013-0579-0,{},classifier round 2,included,NA
Using Data from Earth Observation to Support Sustainable Development Indicators: An Analysis of the Literature and Challenges for the Future,2022,https://doi.org/10.3390/su14031191,{maybe},soc ben repo,included,NA
An Operational Procedure For Rapid Flood Risk Assessment In Europe,NA,10.5194/nhess-17-1111-2017,{},classifier round 2b,included,NA
Assessing The Impact Of L-Band Observations On Drought And Flood Risk Estimation: A Decision-Theoretic Approach In An Osse Environment,NA,10.1175/jhm-d-13-0204.1,{},classifier round 2a,included,NA
Complementing Satellites And Unmanned Aerial Vehicles For Rangeland Assessment In Patagonia,NA,10.25260/ea.19.29.3.0.791,{},classifier round 2,included,NA
"The Gavkhouni Wetland Dryness And Its Impact On Air Temperature Variability In The Eastern Part Of The Zayandeh-Rud River Basin, Iran",2022,10.3390/w14020172,{maybe},classifier round 1,included,NA
Estimating The Added Value Of Grace Total Water Storage And Uncertainty Quantification In Seasonal Streamflow Forecasting,NA,10.1080/02626667.2021.1998510,{},classifier round 2b,included,NA
Using Earth Observations to Enhance Water Resources Decision-making and Disaster Assessment Processes in the United States and the Developing World,2013,https://doi.org/10.1109/GHTC.2013.6713738,{maybe},soc ben repo,included,NA
Integrating Earth observation data into geospatial databases that support public health decisions,2006,https://www.isprs.org/proceedings/XXXVI/part4/WG-VIII-2-2.pdf,{},soc ben repo,included,NA
"The socio-economic value of satellite earth observations: huge, yet to be measured",2019,https://doi.org/10.1080/17487870.2019.1601565,"{""in benchmarks""}",soc ben repo,included,NA
Disaster Risk Reduction In Agriculture Through Geospatial (Big) Data Processing,NA,10.3390/ijgi6080238,{},classifier round 2,included,NA
GEOValue: The Socioeconomic Value of Geospatial Information,2017,9781315154640,{},soc ben repo,included,NA
Identifying Methods for Quantifying the Societal Impacts of the National Oceanic and Atmospheric Administration,2011,https://www.researchgate.net/publication/353247247_NOAA_Science_Challenge_Workshop_Identifying_Metho,{},soc ben repo,included,NA
Big Data Technology Oriented To Wetland Resource Ecosystem Value Evaluation,2022,10.1155/2022/6815102,{},sample 1000,included,NA
Remotely Sensed Variables Explain Microhabitat Selection And Reveal Buffering Behaviours Against Warming In A Climate-Sensitive Bird Species,NA,10.1002/rse2.265,{},classifier round 2b,included,NA
Testing And Validation Of Cloud Infrastructures For Earth Observation Services With Satellite Constellations,NA,10.1080/01431161.2015.1070324,{},classifier round 2a,included,NA
"Value Of Insar For Monitoring Land Subsidence To Support Water Management In The San Joaquin Valley, California",2022,10.1111/1752-1688.12942,{maybe},sample 1000,included,NA
An Agri-Environmental Scheme For Reducing Inputs Subjected To Accidental Spillage: An Application To Agricultural Burnings By Smallholders,NA,10.1007/s10640-022-00720-y,{},classifier round 2b,included,NA
"Ikonos Imagery For Resource Management: Tree Cover, Impervious Surfaces, And Riparian Buffer Analyses In The Mid-Atlantic Region",NA,10.1016/j.rse.2003.07.010,{},classifier round 2b,included,NA
Technological Innovations Bringing Spatial Technology To Precision Agriculture In The Northern Great Plains,NA,10.3727/194982414x13971392823271,{},classifier round 2a,included,NA
Geographical Information Systems Technology As A Tool For Genocide Prevention: The Case Of Darfur,NA,10.1080/13562570902781249,{},classifier round 2b,included,NA
Valuation of Calibration for Satellite Constellations,2020,https://digitalcommons.usu.edu/calcon/CALCON2020/all2020content/30/,{},soc ben repo,included,NA
A User-Driven Approach to Determining Critical Earth Observation Priorities for Societal Benefit,2012,https://doi.org/10.1109/jstars.2012.2199467,"{""user perspective value""}",soc ben repo,included,NA
Management Recommendation Generation For Areas Under Forest Restoration Process Through Images Obtained By Uav And Lidar,2019,10.3390/rs11131508,{},sample 1000,included,NA
Metrics To Accelerate Private Sector Investment In Sustainable Development Goal 2-Zero Hunger,NA,10.3390/su13115967,{},classifier round 2,included,NA
Big Data Analysis Applied In Agricultural Planting Layout Optimization,NA,10.13031/aea.12790,{},classifier round 2a,included,NA
"Monitoring, Evaluation, Accountability, And Learning (Meal) In Anticipatory Action-Earth Observation As A Game Changer",NA,10.3389/fclim.2022.923852,{},classifier round 1,included,NA
Mapping A Specific Class For Priority Habitats Monitoring From Satellite Sensor Data,2006,10.1080/01431160600554348,{maybe},classifier round 1,included,NA
Remote Sensing For Assessing Landslides And Associated Hazards,NA,10.1007/s10712-020-09609-1,{},classifier round 2a,included,NA
Application-Oriented Real-Time Remote Sensing Service Technology,NA,10.11834/jrs.20210260,"{""word salad""}",classifier round 2,included,NA
Open-Source Processing And Analysis Of Aerial Imagery Acquired With A Low-Cost Unmanned Aerial System To Support Invasive Plant Management,2017,10.3389/fenvs.2017.00044,{},sample 1000,included,NA
The Value of Information: Methodological Frontiers and New Applications in Environment and Health,2012,https://doi.org/10.1007/978-94-007-4839-2,{},soc ben repo,included,NA
Using The Social Cost Of Carbon To Value Earth Observing Systems,NA,10.1080/14693062.2015.1110109 and ce and real option value and social cost of carbon and value of in,{},classifier round 2a,included,NA
The potential value of improved ocean observation systems in the Gulf of Mexico,2004,https://doi.org/10.1016/j.marpol.2003.11.002,{},soc ben repo,included,NA
Precision Variable Rate Nitrogen For Dryland Farming On Waterlogging Riverine Plains Of Southeast Australia?,NA,10.1016/j.agsy.2020.102962,{},classifier round 2b,included,NA
"Estimating District-Level Electricity Consumption Using Remotely Sensed Data In Eastern Economic Corridor, Thailand",NA,10.3390/rs13224654,{},classifier round 1,included,NA
From Science to Applications: Determinants of Diffusion in the Use of Earth Observations,2010,https://dx.doi.org/10.2139/ssrn.1565485,{},soc ben repo,included,NA
A Multi-Modal Fusion Network Guided By Feature Co-Occurrence For Urban Region Function Recognition,NA,10.1587/transinf.2021edp7230,"{""social sensing data?""}",classifier round 2b,included,NA
Infrastructure Assessment For Disaster Management Using Multi-Sensor And Multi-Temporal Remote Sensing Imagery,NA,10.1080/01431161.2010.542204,{},classifier round 2b,included,NA
Value Of Airborne Laser Scanning And Digital Aerial Photogrammetry Data In Forest Decision Making,NA,10.14214/sf.9923,{},classifier round 2,included,NA
Evidence-Based Alignment Of Conservation Policies With Remote Sensing-Enabled Essential Biodiversity Variables,2021,10.1016/j.ecolind.2021.108272,{maybe?},classifier excl sample,included,NA
Resource Management In Rangeland,NA,10.1201/b18173-15,{},classifier round 2a,included,NA
Increasing The Use Of Earth Science Data And Models In Air Quality Management,NA,10.1080/10962247.2016.1248303,{},classifier round 2,included,NA
Accuracy And Impact Of Spatial Aids Based Upon Satellite Enumeration To Improve Indoor Residual Spraying Spatial Coverage,NA,10.1186/s12936-018-2236-2,{},classifier round 2a,included,NA
"Comparing The Information Content Of Coral Reef Geomorphological And Biological Habitat Maps, Amirantes Archipelago (Seychelles), Western Indian Ocean",NA,10.1016/j.ecss.2012.06.001,{},classifier round 2a,included,NA
Facilitating Native Land Reacquisition In The Rural Usa Through Collaborative Research And Geographic Information Systems,NA,10.1111/1745-5871.12167,"{""ppgis != esi?"",""tribal benefits""}",classifier round 2b,included,NA
Demonstration Of A Modular Prototype End-To-End Simulator For Aquatic Remote Sensing Applications,2023,10.3390/s23187824,{},sample 1000,included,NA
Agricultural Case Studies For Measuring The Value Of Information Of Earth Observation And Other Geospatial Information For Decisions,NA,10.1201/b20712,{},classifier round 2,included,NA
Enhancing Access and Usage of Earth Observations in Environmental Decision-Making in Eastern and Southern Africa Through Capacity Building,2021,https://doi.org/10.3389/fsufs.2021.504063,{},soc ben repo,included,NA
Valuing Geospatial Information: Using the Contingent Valuation Method to Estimate the Economic Benefits of Landsat Satellite Imagery,2015,https://doi.org/10.14358/PERS.81.8.647,{},soc ben repo,included,NA
Planning Iterative Investment For Landscape Restoration: Choice Of Biodiversity Indicator Makes A Difference,NA,10.1016/j.biocon.2009.04.023,{maybe},classifier round 2,included,NA
Applied Welfare Economics With Bounded Rationality: Public Policies Toward Remote Sensing,NA,10.1007/s11294-004-7165-x,{},classifier round 2b,included,NA
The Activities Of The Italian Coast Guard In The Field Of Airborne Remote Sensing And The Eventual Use Of Satellite Platforms In Marine Pollution Abatement Activities,1996,10.1016/s1353-2561(96)00031-x,{},sample 1000,included,NA
Influence Of The Resolution Of Forest Cover Maps In Evaluating Fragmentation And Connectivity To Assess Habitat Conservation Status,2017,10.1016/j.ecolind.2017.04.031,{},classifier excl sample,included,NA
Assimilation of GRACE Terrestrial Water Storage Data into a Land Surface Model: Results for the Mississippi River Basin,2008,https://doi.org/10.1175/2007JHM951.1,{},soc ben repo,included,NA
Identification Of High Nature Value Grassland With Remote Sensing And Minimal Field Data,NA,10.1016/j.ecolind.2016.11.005,{},classifier round 2b,included,NA
A Land Use Regression Model Incorporating Data On Industrial Point Source Pollution,NA,10.1016/s1001-0742(11)60902-9,{maybe},classifier round 1,included,NA
"Assessing The Effects Of Severe Weather Events Through Remote Sensing On Samothrace, Greece: Applications For The Management Of Cultural Resources",NA,10.1016/j.jasrep.2018.09.002,{},classifier round 2a,included,NA
"Digital Soil Texture Mapping And Spatial Transferability Of Machine Learning Models Using Sentinel-1, Sentinel-2, And Terrain-Derived Covariates",NA,10.3390/rs14235909,{},classifier round 2a,included,NA
Swot Data Assimilation For Operational Reservoir Management On The Upper Niger River Basin,NA,10.1002/2014wr016157,{},classifier round 2b,included,NA
Measuring The Economic Benefits Of An Environmental Monitoring Satellite Project: The Value Of Information Approach,NA,10.1016/j.spacepol.2013.06.003,{},classifier round 2,included,NA
The economic value of drought information for water management under climate change: a case study in the Ebro basin,2011,https://doi.org/10.5194/nhess-11-643-2011,{},soc ben repo,included,NA
"How Remote Sensing Supports Mangrove Ecosystem Service Valuation: A Case Study In Ca Mau Province, Vietnam",NA,10.1016/j.ecoser.2015.04.007,{},classifier round 2,included,NA
"Correlation Of Publication Frequency Of Newspaper Articles With Environment And Public Health Issues In Fire-Prone Peatland Regions Of Riau In Sumatra, Indonesia",NA,10.1057/s41599-021-00994-5,{},classifier round 2a,included,NA
Assessing the Economic Value of Early Warning Systems,2011,https://ssrn.com/abstract=1843258,{},soc ben repo,included,NA
Applications Of Geospatial Technologies For Precision Agriculture,NA,10.1016/b978-0-443-18953-1.00004-0,{},classifier round 2a,included,NA
The Six Dimensions Of Value Associated To The Use Of Copernicus Sentinel Data: Key Findings From The Sentinel Benefits Study,NA,10.3389/fenvs.2022.804862,{},classifier round 2,included,NA
Managing Agricultural Water Considering Water Allocation Priority Based On Remote Sensing Data,NA,10.3390/rs13081536,{},classifier round 2a,included,NA
Evaluating The Potential Of Als Data To Increase The Efficiency Of Aboveground Biomass Estimates In Tropical Peat-Swamp Forests,NA,10.3390/rs10091344,{},classifier round 2b,included,NA
Mapping Of Potential Fuel Regions Using Uncrewed Aerial Vehicles For Wildfire Prevention,NA,10.3390/f14081601,{},classifier round 2a,included,NA
The Contribution Of Spaceborne Sar Data In Linear Infrastructures Monitoring Activities,NA,10.1007/978-3-030-21359-6_34 and nsar and ground instability and linear infrastructure monitoring an,{},classifier round 2b,included,NA
Irrigation Retrieval From Landsat Optical/Thermal Data Integrated Into A Crop Water Balance Model: A Case Study Over Winter Wheat Fields In A Semi-Arid Region,NA,10.1016/j.rse.2019.111627,{},classifier round 2b,included,NA
Numerical Modelling And Satellite Remote Sensing As Tools For Research And Management Of Marine Fishery Resources,NA,10.1007/978-3-319-06326-3_18,{},classifier round 2,included,NA
"Cloud Data And Computing Services Allow Regional Environmental Assessment: A Case Study Of Macquarie-Castlereagh Basin, Australia",NA,10.1007/s11769-019-1040-4,{},classifier round 2a,included,NA
An Analysis of the Value of Additional Information Provided by Water Quality Measurement Network,2016,http://dx.doi.org/10.4236/jwarp.2016.88062,{},soc ben repo,included,NA
Landsat Data Ecosystem Case Study: Actor Perceptions of the Use and Value of Landsat,2022,https://doi.org/10.3389/fenvs.2021.805174,"{""in benchmarks?""}",soc ben repo,included,NA
"Coordinated Capacity Development To Maximize The Contributions Of Space Science, Technology, And Its Applications In Support Of Implementing Global Sustainable Development Agendas-A Conceptual Framework",NA,10.1016/j.spacepol.2019.101346,{},classifier round 2,included,NA
Bioclimatic Variables From Precipitation And Temperature Records Vs. Remote Sensing-Based Bioclimatic Variables: Which Side Can Perform Better In Species Distribution Modeling?,NA,10.1016/j.ecoinf.2020.101060,{},classifier round 2a,included,NA
Economic Feasibility Study For Pavement Monitoring Using Synthetic Aperture Radar-Based Satellite Remote Sensing Cost-Benefit Analysis,NA,10.3141/2645-01,{},classifier round 2,included,NA
Implication Of Geo-Informatics (Gis/Rs) On Agricultural Irrigation Management: The State Of The Art,NA,10.1007/698_2017_174,{},classifier round 2a,included,NA
Spatio-Temporal Prediction Of Crop Disease Severity For Agricultural Emergency Management Based On Recurrent Neural Networks,NA,10.1007/s10707-017-0314-1,{},classifier round 2b,included,NA
Automatic Delimitation Of Watershed Using Data Srtm,NA,10.1590/s0100-69162010000100005,{},classifier round 2b,included,NA
Optimizing Top Dresseing Nitrogen Fertilization Using Venμs And Sentinel‐2 L1 Data,NA,10.3390/rs13193934,{},classifier round 2b,included,NA
The value of harmful algal bloom predictions to the nearshore commercial shellfish fishery in the Gulf of Maine,2008,https://doi.org/10.1016/j.hal.2008.03.002,{},soc ben repo,included,NA
An Ontology-Based Reasoning Framework For Querying Satellite Images For Disaster Monitoring,NA,10.3390/s17112545,{},classifier round 2b,included,NA
Use Of Earth Observation Satellite Data To Guide The Implementation Of Integrated Pest And Pollinator Management (Ippm) Technologies In An Avocado Production System,2021,10.1016/j.rsase.2021.100566,{},classifier excl sample,included,NA
Review Of Fews Net Biophysical Monitoring Requirements,NA,10.1088/1748-9326/4/2/024009,{},classifier round 2,included,NA
The Role Of Satellite And Decentralized Strategies In Water Resources Management,2009,10.1016/j.jenvman.2007.08.016,{},sample 1000,included,NA
Using Remote Sensing As A Support To The Implementation Of The European Marine Strategy Framework Directive In Sw Portugal,NA,10.1016/j.csr.2015.03.011,{},classifier round 2a,included,NA
The Role Of Remote Sensing In The Development Of Smart Indicators For Ecosystem Services Assessment,2016,10.1080/14888386.2016.1246384,{},sample 1000,included,NA
Three Most Widely Used Gnss-Based Shoreline Monitoring Methods To Support Integrated Coastal Zone Management Policies,2017,10.1061/(asce)su.1943-5428.0000219,{},sample 1000,included,NA
"Precision Agriculture On Grassland: Applications, Perspectives And Constraints",NA,10.1016/j.eja.2008.05.005,{},classifier round 2b,included,NA
The impact of modern spatial information technologies on the Australian economy,2008,https://www.crcsi.com.au/assets/Resources/e2b13d9b-9be9-4338-ad68-b6758f759355.pdf,{maybe},soc ben repo,included,NA
"Contingent valuation study of the benefits of seasonal climate forecasts for maize farmers in the Republic of Benin, West Africa",2017,http://dx.doi.org/10.1016/j.cliser.2017.06.007,{},soc ben repo,included,NA
Satellite Data And Geographic Information Systems For Fire And Resource Management In The Canadian Arctic,1996,10.1080/10106049609354537,{},classifier excl sample,included,NA
Remote Sensing For Restoration Planning: How The Big Picture Can Inform Stakeholders,NA,10.1111/rec.12448,{},classifier round 2,included,NA
"Policy Implications Of Remote Sensing In Understanding Urban Environments: Developing A Wetlands Inventory For Community Decision-Making In Lucas County, Ohio",NA,10.1007/3-540-26676-3_3,{},classifier round 2,included,NA
Mapping Landscape-Scale Peatland Degradation Using Airborne Lidar And Multispectral Data,2019,10.1007/s10980-019-00844-5,{maybe},sample 1000,included,NA
Satellite earth observation value-added service in the Nigerian economy,2010,https://doi.org/10.13140/2.1.2805.5845,{maybe},soc ben repo,included,NA
Evaluating Performance Of Community-Based Irrigation Schemes Using Remote-Sensing Technologies To Enhance Sustainable Irrigation Water Management,NA,10.1007/s41101-023-00222-y,{},classifier round 1,included,NA
"Evaporative Fluxes And Surface Soil Moisture Retrievals In A Mediterranean Setting From Sentinel-3 And The ""Simplified Triangle""",NA,10.3390/rs12193192,{},classifier round 2a,included,NA
